state,action,qValue,reward,next_state
0$0$0$1$0$0$-1$-1$-1$0$0$0$1$0$0$0$-1$-1$0$0$0$1$0$0$0$-1$-1$0$0$0$1$0$0$0$0$-1$0$0$0$1$0$0$0$0$-1$0$0$0$1$0$0$0$0$0$-1$0$0$1$0$0$0$0$0$-1$0$0$1$0$0$0$0$0$-1$-1$0$1$0$0$0$0$0$-1$-1$0$1$0$0$0$0$0,0$0$1$0$0$0$0$0$0,1.0,0.0,-1$-1$-2$0$0$0$0$0$0$-1$-1$-2$0$0$0$0$0$0$-1$-1$-2$-1$0$0$0$0$0$0$-1$-2$-1$0$0$0$0$0$0$-1$-2$-1$-1$0$0$0$0$0$0$-2$-1$-1$0$0$0$0$0$0$-2$-1$-1$-1$0$0$0$0$0$1$-1$-1$-1$0$0$0$0$0$1$-1$-1$-1$-1$0$0$0$0$1$0$-1$-1$-1$0$0
-1$-1$-2$0$0$0$0$0$0$-1$-1$-2$0$0$0$0$0$0$-1$-1$-2$-1$0$0$0$0$0$0$-1$-2$-1$0$0$0$0$0$0$-1$-2$-1$-1$0$0$0$0$0$0$-2$-1$-1$0$0$0$0$0$0$-2$-1$-1$-1$0$0$0$0$0$1$-1$-1$-1$0$0$0$0$0$1$-1$-1$-1$-1$0$0$0$0$1$0$-1$-1$-1$0$0,0$0$1$0$0$0$0$0$0,1.0,1.0,0$0$1$0$-1$-1$-1$-1$0$0$0$1$0$0$-1$-1$-1$0$0$0$1$0$0$-1$-1$-1$-1$0$0$1$0$0$0$-1$-1$-1$0$0$1$0$0$0$-1$-1$-1$0$0$1$0$0$0$0$-1$-1$0$0$1$0$0$0$0$-1$-1$0$0$1$0$0$0$0$0$-1$0$0$1$0$0$0$0$0$-1$0$0$1$0$0$0$0$0$0
0$0$1$0$-1$-1$-1$-1$0$0$0$1$0$0$-1$-1$-1$0$0$0$1$0$0$-1$-1$-1$-1$0$0$1$0$0$0$-1$-1$-1$0$0$1$0$0$0$-1$-1$-1$0$0$1$0$0$0$0$-1$-1$0$0$1$0$0$0$0$-1$-1$0$0$1$0$0$0$0$0$-1$0$0$1$0$0$0$0$0$-1$0$0$1$0$0$0$0$0$0,0$0$1$0$0$0$0$0$0,1.0,0.0,-1$0$1$0$0$0$0$0$0$-1$0$1$0$0$0$0$0$0$-1$-1$1$0$0$0$0$0$0$-1$-1$1$0$0$0$0$0$0$-1$-1$-2$0$0$0$0$0$0$-1$-1$-2$0$0$0$0$0$0$-1$-1$-2$-1$0$0$0$0$0$0$-1$-2$-1$0$0$0$0$0$0$-1$-2$-1$-1$0$0$0$0$0$0$-2$-1$-1$0$0$0$0
-1$0$1$0$0$0$0$0$0$-1$0$1$0$0$0$0$0$0$-1$-1$1$0$0$0$0$0$0$-1$-1$1$0$0$0$0$0$0$-1$-1$-2$0$0$0$0$0$0$-1$-1$-2$0$0$0$0$0$0$-1$-1$-2$-1$0$0$0$0$0$0$-1$-2$-1$0$0$0$0$0$0$-1$-2$-1$-1$0$0$0$0$0$0$-2$-1$-1$0$0$0$0,0$0$1$0$0$0$0$0$0,1.0,0.0,0$0$-2$-1$-1$-1$0$0$0$0$0$1$-1$-1$-1$0$0$0$0$0$1$-1$-1$-1$-1$0$0$0$0$1$0$-1$-1$-1$0$0$0$0$1$0$-1$-1$-1$-1$0$0$0$1$0$0$-1$-1$-1$0$0$0$1$0$0$-1$-1$-1$-1$0$0$1$0$0$0$-1$-1$-1$0$0$1$0$0$0$-1$-1$-1$0$0$1$0$0$0$0$-1$-1
0$0$-2$-1$-1$-1$0$0$0$0$0$1$-1$-1$-1$0$0$0$0$0$1$-1$-1$-1$-1$0$0$0$0$1$0$-1$-1$-1$0$0$0$0$1$0$-1$-1$-1$-1$0$0$0$1$0$0$-1$-1$-1$0$0$0$1$0$0$-1$-1$-1$-1$0$0$1$0$0$0$-1$-1$-1$0$0$1$0$0$0$-1$-1$-1$0$0$1$0$0$0$0$-1$-1,0$0$1$0$0$0$0$0$0,1.0,0.0,0$0$1$0$0$0$0$-1$-1$0$0$1$0$0$0$0$0$-1$0$0$1$0$0$0$0$0$-1$0$0$1$0$0$0$0$0$0$-1$0$1$0$0$0$0$0$0$-1$0$1$0$0$0$0$0$0$-1$-1$1$0$0$0$0$0$0$-1$-1$1$0$0$0$0$0$0$-1$-1$-2$0$0$0$0$0$0$-1$-1$-2$0$0$0$0$0$0
0$0$1$0$0$0$0$-1$-1$0$0$1$0$0$0$0$0$-1$0$0$1$0$0$0$0$0$-1$0$0$1$0$0$0$0$0$0$-1$0$1$0$0$0$0$0$0$-1$0$1$0$0$0$0$0$0$-1$-1$1$0$0$0$0$0$0$-1$-1$1$0$0$0$0$0$0$-1$-1$-2$0$0$0$0$0$0$-1$-1$-2$0$0$0$0$0$0,0$0$1$0$0$0$0$0$0,1.0,0.0,-1$-1$-2$-1$0$0$0$0$0$0$-1$-2$-1$0$0$0$0$0$0$-1$-2$-1$-1$0$0$0$0$0$0$-2$-1$-1$0$0$0$0$0$0$-2$-1$-1$-1$0$0$0$0$0$1$-1$-1$-1$0$0$0$0$0$1$-1$-1$-1$-1$0$0$0$0$1$0$-1$-1$-1$0$0$0$0$1$0$-1$-1$-1$-1$0$0$0$1$0$0$-1$-1$-1$0
-1$-1$-2$-1$0$0$0$0$0$0$-1$-2$-1$0$0$0$0$0$0$-1$-2$-1$-1$0$0$0$0$0$0$-2$-1$-1$0$0$0$0$0$0$-2$-1$-1$-1$0$0$0$0$0$1$-1$-1$-1$0$0$0$0$0$1$-1$-1$-1$-1$0$0$0$0$1$0$-1$-1$-1$0$0$0$0$1$0$-1$-1$-1$-1$0$0$0$1$0$0$-1$-1$-1$0,0$0$1$0$0$0$0$0$0,1.0,1.0,0$0$1$0$0$-1$-1$-1$-1$0$0$1$0$0$0$-1$-1$-1$0$0$1$0$0$0$-1$-1$-1$0$0$1$0$0$0$0$-1$-1$0$0$1$0$0$0$0$-1$-1$0$0$1$0$0$0$0$0$-1$0$0$1$0$0$0$0$0$-1$0$0$1$0$0$0$0$0$0$-1$0$1$0$0$0$0$0$0$-1$0$1$0$0$0$0$0$0
0$0$1$0$0$-1$-1$-1$-1$0$0$1$0$0$0$-1$-1$-1$0$0$1$0$0$0$-1$-1$-1$0$0$1$0$0$0$0$-1$-1$0$0$1$0$0$0$0$-1$-1$0$0$1$0$0$0$0$0$-1$0$0$1$0$0$0$0$0$-1$0$0$1$0$0$0$0$0$0$-1$0$1$0$0$0$0$0$0$-1$0$1$0$0$0$0$0$0,0$0$1$0$0$0$0$0$0,1.0,0.0,-1$-1$1$0$0$0$0$0$0$-1$-1$1$0$0$0$0$0$0$-1$-1$-2$0$0$0$0$0$0$-1$-1$-2$0$0$0$0$0$0$-1$-1$-2$-1$0$0$0$0$0$0$-1$-2$-1$0$0$0$0$0$0$-1$-2$-1$-1$0$0$0$0$0$0$-2$-1$-1$0$0$0$0$0$0$-2$-1$-1$-1$0$0$0$0$0$1$-1$-1$-1$0$0$0
-1$-1$1$0$0$0$0$0$0$-1$-1$1$0$0$0$0$0$0$-1$-1$-2$0$0$0$0$0$0$-1$-1$-2$0$0$0$0$0$0$-1$-1$-2$-1$0$0$0$0$0$0$-1$-2$-1$0$0$0$0$0$0$-1$-2$-1$-1$0$0$0$0$0$0$-2$-1$-1$0$0$0$0$0$0$-2$-1$-1$-1$0$0$0$0$0$1$-1$-1$-1$0$0$0,0$0$0$0$0$1$0$0$0,8.639216e-21,0.0,0$0$0$-1$-1$-2$-1$0$0$0$0$0$0$-1$-2$-1$0$0$0$0$0$0$-1$-2$-1$-1$0$0$0$0$0$0$-2$-1$-1$0$0$0$0$0$0$-2$-1$-1$-1$0$0$0$0$0$1$-1$-1$-1$0$0$0$0$0$1$-1$-1$-1$0$0$0$0$0$1$0$-1$-1$0$0$0$0$0$1$0$-1$-1$0$0$0$0$0$1$0$0$-1
0$0$0$-1$-1$-2$-1$0$0$0$0$0$0$-1$-2$-1$0$0$0$0$0$0$-1$-2$-1$-1$0$0$0$0$0$0$-2$-1$-1$0$0$0$0$0$0$-2$-1$-1$-1$0$0$0$0$0$1$-1$-1$-1$0$0$0$0$0$1$-1$-1$-1$0$0$0$0$0$1$0$-1$-1$0$0$0$0$0$1$0$-1$-1$0$0$0$0$0$1$0$0$-1,0$0$1$0$0$0$0$0$0,1.0,0.0,0$0$1$0$0$0$0$0$-1$0$0$1$0$0$0$0$0$0$-1$0$1$0$0$0$0$0$0$-1$0$1$0$0$0$0$0$0$-1$-1$1$0$0$0$0$0$0$-1$-1$1$0$0$0$0$0$0$-1$-1$-2$0$0$0$0$0$0$-1$-1$-2$0$0$0$0$0$0$-1$-1$-2$-1$0$0$0$0$0$0$-1$-2$-1$0$0$0$0$0
